INSEE_COM,NOM,POP,Population_3_20,C20_FAM,C20_FAMMONO,QL3_20,QLFMONO,RDISP_MED,tx_BAC,tx_O,tx_Chom,FDep,APL
78498,Poissy,39731,8943.48075300126,10538.474005625,2187.35075312126,0.982041444110376,1.06653137217689,23450,0.56278517415726,0.08554753630586,0.102103566932189,-0.734628849630375,2.608
78499,Ponthévrard,685,195.760763453618,206.439931444297,15.4954199532505,1.24677422165908,0.385693729363038,30200,0.645325105572128,0.04620157731189,0.043657624762709,1.91750410011413,3.206
78501,Porcheville,3155,862,830,120,1.19195713565052,0.742909799605344,24030,0.416856492027335,0.139874739039666,0.098784194528875,-1.85381307298167,4.019
78502,Le Port-Marly,5454,1241.78776003366,1388.01569486881,278.424049459453,0.993310386881555,1.03073091506174,25770,0.644399657411655,0.073249608254842,0.091384764847921,0.264470039840647,3.142
78505,Prunay-le-Temple,412,106.051643437691,119.286126436811,15.4141471050849,1.12298232960779,0.663991464721545,28450,0.614564846891689,0.062518823645491,0.065194036307424,1.01585208537145,1.153
78506,Prunay-en-Yvelines,861,189.424835413503,261.411439718597,15.7136599388989,0.959812723535384,0.308877088359816,29340,0.59753277541129,0.059156766756081,0.056340318005588,1.23151955511819,3.609
78513,La Queue-les-Yvelines,2346,549.114304683687,645.986630489425,76.334634692607,1.02114516484523,0.607198982574879,28890,0.545620237950773,0.039422662460691,0.058921174477629,1.07628159504509,2.43
78516,Raizeux,991,250.992233905653,306.743266075285,30.5101507705654,1.10494170286712,0.511095726633409,29460,0.635301788041778,0.059785197931813,0.065489890077106,1.26942041104331,3.161
78517,Rambouillet,27043,5699.91499025529,7231.10022706518,1158.46432176571,0.919530726703796,0.823211095349257,27450,0.62051120296972,0.061775110292049,0.068636802329779,0.86454982682458,3.209
78518,Rennemoulin,112,27,35,5,1.05171599064043,0.734065635324328,38090,0.829268292682927,0,0.041666666666667,4.32588071001495,2.657
78520,Richebourg,1565,363.190435386733,370.164616673645,37.7770495220647,1.01244816274797,0.524404084731289,29980,0.504015370054834,0.059869251872269,0.044706380888551,1.05076051875278,1.588
78522,Rochefort-en-Yvelines,894,200.581547898934,273.674710177088,35.366449031918,0.978827574426402,0.664033092523859,34190,0.734926304427271,0.040831738041048,0.061190989009364,2.62641294089591,3.404
78528,Rolleboise,367,67.0319970891482,95.0431400419942,14.1190672425104,0.796835785750393,0.763340251877897,22500,0.402822423220276,0.195056975136245,0.101217944910101,-2.71366350987693,1.161
78530,Rosay,377,67,125,30,0.775329285172001,1.23323026734487,26590,0.627986348122867,0.067796610169491,0.070833333333333,0.691999451376914,1.714
78531,Rosny-sur-Seine,6906,1829.65609215214,1911.30391158833,255.809381370243,1.15583443158809,0.687732664822492,22380,0.46794164905607,0.116487503760118,0.110053603725749,-1.77591282791205,1.712
78536,Sailly,348,71.4406612455707,107.769295709963,14.5943075685405,0.895610048015752,0.695859215817465,27200,0.529443495990333,0.084354983401024,0.061585374802461,0.284130816962862,2.37
78537,Saint-Arnoult-en-Yvelines,5791,1284.33895535482,1804.64136538047,225.748353689453,0.967562050153804,0.642786308113205,28970,0.576530686837264,0.063736190162548,0.057547345556468,1.01577866922155,1.952
78545,Saint-Cyr-l'École,20611,5145.31061847617,5532.91155734018,951.134734287455,1.08909376129162,0.883326474745927,26180,0.667716043470528,0.063815020695237,0.069974136190055,0.885455844386009,3.351
78548,Saint-Forget,450,88,140,30,0.853145086728568,1.10109845298649,36470,0.742028985507246,0.040540540540541,0.025179856115108,3.56548805761743,2.478
78550,Saint-Germain-de-la-Grange,1847,445.318797253074,590.333671537497,75.3442720104708,1.05185740240286,0.655821453147985,34380,0.740764397703641,0.051175751063168,0.055914478717235,2.66451233952519,2.006
78551,Saint-Germain-en-Laye,44410,11041.0510137797,11730.0584964005,2158.48535978783,1.08463191416924,0.945544260687181,32270,0.762402400843364,0.03860302613657,0.075087768894191,2.29892116366154,2.511
78557,Saint-Hilarion,966,213.91429018914,316.636620860131,21.1246376506855,0.966085151340488,0.342815981333619,27760,0.60950344045965,0.048424173890631,0.059105276689748,1.14570142967656,3.601
78558,Saint-Illiers-la-Ville,378,100.530324653419,110.566488894041,0,1.160267215169,0,26010,0.579956962705949,0.146674551257207,0.079330808075277,-0.548732438677648,1.282
78559,Saint-Illiers-le-Bois,425,114,120,20,1.17022307350737,0.856409907878383,29340,0.534426229508197,0.138461538461538,0.060931899641577,0.05447872669026,1.431
78561,Saint-Lambert,444,115.189993155291,139.088543353949,9.70365259204069,1.13183864443413,0.358489808953663,38100,0.766936467013773,0.040936982229862,0.043611376101154,3.58278998298698,3.232
78562,Saint-Léger-en-Yvelines,1402,339,420,60,1.0548833077782,0.734065635324328,31600,0.683531746031746,0.077981651376147,0.071019473081329,1.5045935468934,1.097
78564,Saint-Martin-de-Bréthencourt,680,177,195,25,1.13557831146274,0.658776852214141,26960,0.575052854122622,0.048543689320388,0.052154195011338,0.991250074521808,2.21
78565,Saint-Martin-des-Champs,303,70.8650118841869,89.5724539933496,9.96349366316704,1.02033309028953,0.57157089996797,31820,0.689465647720305,0,0.067082633368623,2.40924667853064,1.555
78567,Saint-Martin-la-Garenne,929,219.193814325885,285.441510051378,25.1115283094968,1.02935532561944,0.45205257586433,27180,0.529031395710219,0.095358915333166,0.070164687958917,0.024842038307302,2.013
78569,Sainte-Mesme,912,182,260,15,0.870621294396303,0.296449583496363,29160,0.590909090909091,0.064516129032258,0.061157024793388,1.04135621715086,2.991
78571,Saint-Nom-la-Bretèche,4892,1240.22348056042,1484.49084222061,119.784879209043,1.1060282929423,0.414626838176458,43360,0.849915913558822,0.008647404319142,0.059025307778389,4.72953197665643,2.671
78575,Saint-Rémy-lès-Chevreuse,7750,1593.51962418784,2143.60838605973,239.233356395651,0.897033060251663,0.573468040276253,34300,0.719064320808064,0.037629428602361,0.065578042086231,2.5221198489343,2.671
78576,Saint-Rémy-l'Honoré,1647,378.28733383551,499.742703981905,48.1093387908522,1.00203049004413,0.494670326233983,32530,0.723236314092333,0.045986810013483,0.064042977302441,2.25514491480984,2.462
78586,Sartrouville,51746,11633.6440708129,13909.2648057301,2397.56936861151,0.980825444982425,0.885727113884006,24900,0.532833601304233,0.093314835794704,0.091591101862732,-0.59247242502796,1.922
78588,Saulx-Marchais,961,245.007248863959,284.840738511456,35.8248483378149,1.11226502650561,0.646271777521974,29800,0.611917584437979,0.07338507757014,0.055656847643566,1.22968917217202,2.243
78590,Senlisse,503,95,155,10,0.823964225050747,0.331513512727116,34270,0.744897959183674,0.03448275862069,0.064406779661017,2.69446423822019,2.237
78591,Septeuil,2310,551.95188877589,647.882182177053,85.6348383413355,1.04241818628919,0.679183895151863,27470,0.577600031379324,0.074409882068502,0.040875927899757,1.00046569472322,1.545
78597,Soindres,698,164.994084334684,214.346207398653,25.6326691365154,1.03125409571563,0.614484541069184,27880,0.535331215378733,0.078927979130203,0.083963717073929,0.078214430557385,2.999
78601,Sonchamp,1580,355,490,50,0.980220998309038,0.524332596660234,29510,0.631489361702128,0.045627376425856,0.054401582591494,1.58600136590822,3.501
78605,Tacoignières,1092,278.716895766003,323.813233809173,49.8372629949972,1.1135081334806,0.790847093709742,28920,0.672590126148511,0.072847830699848,0.06422278556367,1.27036055551795,1.232
78606,Le Tartre-Gaudran,36,7,15,5,0.848297671463065,1.71281981575677,28920,0.448275862068966,0.285714285714286,0,-0.865673213370228,2.222
78608,Le Tertre-Saint-Denis,121,24.2,43.56,9.68,0.872534747790581,1.14187987717118,27050,0.505494505494506,0.047619047619048,0.066666666666667,0.431247796628312,1.048
78609,Tessancourt-sur-Aubette,1024,247.064800639978,320.994034892924,9.570205843362,1.05260070075358,0.153199465667793,28710,0.615561734700534,0.096859407269922,0.055975503382149,0.865606311210009,2.239
